id;author;available;book_name;description;isbn;picture;publisher
1;Table Fish;true;cyan Forward forecast;Agent;compress state mobile;high-level;Georgia Borders
2;calculating Overpass;true;interfaces auxiliary Pula;Paradigm Optimization calculating;Soft Books;Loan Points violet;ivory lime
3;Bacon optical blockchains;false;application;turn-key Soft;navigating Ergonomic Territory;backing deposit;CSS navigate
4;indigo Account drive;false;Product Web;Industrial;Concrete compressing Table;Dominica;input
5;payment salmon;false;e-tailers functionalities Supervisor;payment Toys Home;solid and;withdrawal Pizza Andorra;Cambridgeshire
6;JBOD optical HDD;false;payment optical channels;lavender;e-markets HDD wireless;networks copying;compress Concrete matrix
7;SMS;true;hack invoice Quality-focused;USB;Producer Technician;maroon channels composite;target override
8;fuchsia;true;Concrete Home Way;Liaison;SQL;orchestrate;invoice
9;Berkshire Account Ergonomic;false;convergence Small innovative;Berkshire quantify olive;distributed mint reboot;TCP United;Indian
10;Savings;false;Fresh virtual;Baby transmitting;frictionless navigate;Swaziland Cotton;solution-oriented system Chips
